authors,series,title
"John Schember","","Guide de démarrage rapide"
"BUSSI, Michel","","Un avion sans elle (Terres de France) (French Edition)"
"Rick Riordan","Magnus Chase et les dieux d'Asgard","Le marteau de Thor"
"Dick, Phillip K","","Loterie solaire"
"Hobb, Robin","Les Cités des Anciens","Les Pillards"
"Richelle Mead","","Vampire Academy T2 Morsure de glace"
"Salvatore, R.A","Mercenaires","La route du patriarche"
"Genefort, Laurent","","La mécanique du talion"
"Bradbury, Ray","","Bien après minuit"
"Van Vogt, Alfred E","","Pour une autre Terre"
"Salvatore, R.A","Légende de Drizzt","Les Torrents d'Argent"
"Grimbert, Pierre","La Malerune","Les Armes de Garamont"
"Williams, Walter J","","Plasma"
"Brooks, Max","","World war Z"
"Van Vogt, Alfred E","","Le livre d'or de la SF"
"Bradbury, Ray","","Les chroniques martiennes"
"Merritt, Abraham","","Les habitants du mirage"
"Dick, Phillip K","","L'homme dont toutes les dents étaient exactement semblables"
"Loevenbruck, Henri","La moira","La guerre des loups"
"Barker, Clive","Livre de sang","une course d'enfer"
"Hobb, Robin","Soldat chamane","Le Renégat"
"Mc Caffrey, Anne","Pern : Les origines","L’aube des dragons"
"Salvatore, R.A","Les Royaumes Oubliés - Les Lames Du Chasseur","Les Mille Orques"
"Weis, Margaret","Les portes de la mort","L'étoile des elfes"
"Moorcock, Michael","","Le Chien de Guerre et la Douleur du Monde"
"Hobb, Robin","Soldat chamane","Le Cavalier rêveur"
"Weis, Margaret","Les portes de la mort","La Septième Porte"
"Dick, Phillip K","La Trilogie Divine","La transmigration de Timothy Archer"
"Mc Caffrey, Anne","Pern : Les origines","La Dame Aux Dragons"
"Moorcock, Michael","Elric","Le navigateur sur les mers du destin"
"Powers, Tim","","Les Voies d'Anubis"
"Mc Caffrey, Anne","Pern : Les origines","La lignée du dragon"
"Van Vogt, Alfred E","","Invasion Galactique"
"Clarke, Arthur C","Rama","Rendez-vous avec Rama"
"Salvatore, R.A","Demon Wars","Mortalis"
"Zelazny, Roger","","Le sérum de la Déesse Bleue"
"Simmons, Dan","","Vendredi Ou La Vie Sauvage"
"Salvatore, R.A","Légende de Drizzt","L'Héritage"
"Loevenbruck, Henri","Serum","Sérum - Saison 01, épisode 01"
"Andrevon, Jean Louis","","Nouvelles"
"Wolfe, Gene","Le Livre du second soleil de Teur","Le nouveau soleil de Teur 2"
"Hobb, Robin","Assassin Royal","L'homme noir"
"Zelazny, Roger","","Le Maître des Rêves"
"Dick, Phillip K","","Dr Bloodmoney"
"Simmons, Dan","","L'épée de Darwin"
"Dick, Phillip K","","Blade Runner"
"Card, Orson Scott","","Trahison"
"Salvatore, R.A","Légende de Drizzt","Terre Promise"
"Simmons, Dan","Cantos d'Hyperion","L'eveil d'Endymion 1"
"Forstchen, William R","Le Régiment Perdu","Ralliement"
"Dick, Phillip K","","Le Maître du Haut Château"
"Lem, Stanislas","","L'invincible"
"Heinlein, Robert","","L'Age des étoiles"
"Moorcock, Michael","Elric","L'épée noire"
"Ayerdhal","","Transparences"
"Asimov, Isaac","The Winds of Change and Other Stories","Au prix du papyrus"
"Moorcock, Michael","Elric","La revanche de la Rose"
"Dick, Phillip K","La Trilogie Divine","L'invasion divine"
"Asimov, Isaac","The Early Asimov","Chrono-minets"
"Hobb, Robin","Assassin Royal","L'Assassin du roi"
"Adams, Douglas","H2G2","Salut, et encore merci pour le poisson"
"Clarke, Arthur C","Rama","Rama II"
"Grimbert, Pierre","Les Enfants De Ji","Le Testament oublié"
"Spinrad, Norman","","Bleue comme une orange"
"Barker, Clive","Livre de sang","Livre de sang"
"Heinlein, Robert","Histoire du Futur","Les enfants de Mathusalem"
"Pohl, Frederik","","Casse-tête chinois"
"Saint Moore, Adam","Les chroniques de l'ére du verseau","3087"
"Simmons, Dan","Cantos d'Hyperion","Hyperion 1"
"Wul, Stephan","","Oms en série"
"Asimov, Isaac","Buy Jupiter and Other Stories","Cher Jupiter"
"Lindholm, Megan","Le Peuple des Rennes","Le Peuple Des Rennes"
"Hodder, Mark","","L'Étrange affaire de Spring Heeled Jack"
"Mc Caffrey, Anne","Transe du crystal","La Mémoire du crystal"
"Wul, Stephan","","Niourk"
"Saint Moore, Adam","Les chroniques de l'ére du verseau","Les lois de l'ORGA"
"Haldeman, Joe","","Rêves infinis"
"Jeter, K.W","La guerre des chasseurs de prime","Le vaisseau Esclave"
"Mc Caffrey, Anne","Pern : Les origines","Histoire de Nerilka"
"Simmons, Dan","","Nuit d'été"
"Hobb, Robin","Assassin Royal","Le dragon des glaces"
"Priest,Christopher","","Le monde inverti"
"Dick, Phillip K","","Le zappeur de mondes"
"Saint Moore, Adam","Les chroniques de l'ére du verseau","La vingt-sixième réincarnation"
"Robinson, Kim Stanley","Capital Code","Les 40 signes de la pluie"
"Hobb, Robin","Soldat chamane","Danse de Terreur"
"Brown, Fredric","","La belle et la bête"
"Heinlein, Robert","","L'Enfant tombé des étoiles"
"Zelazny, Roger","","Toi l'immortel"
"Lackey, Mercedes","La trilogie des Tempêtes","L'arrivée des tempêtes"
"Salvatore, R.A","Légende de Drizzt","Lame Furtive"
"Forstchen, William R","Le Régiment Perdu","Riposte"
"Saint Moore, Adam","Les chroniques de l'ére du verseau","Les ombres de la Mégapole"
"Simmons, Dan","Cantos d'Hyperion","Les orphelins de l'Helice"
"Sapkowski, Andrzej","La Saga du Sorceleur","La tour de l'hirondelle"
"Hobb, Robin","Assassin Royal","La secte maudite"
"H.P. Lovecraft","","Oeuvres intégrale"
"Lovecraft, H.P","","Oeuvres intégrale"
"Lois Lowry","","Le Passeur"
"Merritt, Abraham","","La femme du bois"
"Erik L'Homme","A Comme Assocation","A Comme Association T3 - L'étoffe fragile du monde"
"Forstchen, William R","Le Régiment Perdu","Rassemblement"
"Priest,Christopher","","La séparation"
"DAUGHERTY, C. J.","","Night School, tome 3 : Rupture"
"Mc Caffrey, Anne","Transe du crystal","La Chanteuse crystal"
"Lindholm, Megan","Ki et Vandien","Les ventchanteuses"
"Van Vogt, Alfred E","","A la conquête de Kiber"
"Anderson, Poul","","Le barde du futur"
"Mc Caffrey, Anne","Pern : Autre monde de Pern","Les Dauphins de Pern"
"Adams, Douglas","H2G2","La Vie, l'Univers et le Reste"
"Asimov, Isaac","","La Voie Martienne, et Autres Nouvelles"
"Dick, Phillip K","","Hommes, androïdes et machines"
"Loevenbruck, Henri","Serum","Serum - Saison 01, épisode 02"
"Salvatore, R.A","Légende de Drizzt","L'Éclat de Cristal"
"Salvatore, R.A","","Le Roi pirate"
"Van Vogt, Alfred E","","Le sorcier de Linn"
"Salvatore, R.A","Neverwinter","Neverwinter"
"Heinlein, Robert","","Job : une comédie de justice"
"Morgan, Richard","Takeshi Kovacs","Furies Déchaînées"
"Asimov, Isaac","","L'Avenir commence demain"
"Heinlein, Robert","","Le chat passe-muraille"
"Wul, Stephan","","Le temple du passé"
"Colin, Fabrice","","La fonte des rêves"
"Heinlein, Robert","Histoire du Futur","Les vertes collines de la Terre"
"Salvatore, R.A","Légende de Drizzt","L'Invasion des Ténèbres"
"Hobb, Robin","Soldat chamane","Racines"
"Grimbert, Pierre","Les Enfants De Ji","le Patriarche"
"Bradbury, Ray","","Celui Qui Attend"
"Aldiss, Brian","","Le monde vert"
"Heinlein, Robert","","Double étoile"
"Spinrad, Norman","","Jack Barron et l'éternité"
"Simak, Clifford D","","JaiLu 847 - Au carrefour des étoiles"
"Hobb, Robin","Soldat chamane","Le Fils rejeté"
"Heinlein, Robert","","Le ravin des ténèbres"
"Barker, Clive","Livre de sang","prison de chair"
"Hobb, Robin","Les Aventuriers de la mer","La conquete de la liberte"
"Card, Orson Scott","Les chroniques d'Alvin le Faiseur","Le prophète rouge"
"Ballard, J.G","","crash !"
"Hobb, Robin","Les Cités des Anciens","La Decrue"
"Lem, Stanislas","","Solaris"
"Brown, Fredric","Ed & Am Hunter","Crime à Chicago"
"Ayerdhal","","Cybione"
"Salvatore, R.A","Légende de Drizzt","Terre d'Exil"
"Dick, Phillip K","","Le dieu venu du Centaure"
"Vance, Jack","The Cadwal Chronicles","La Station d'Araminta"
"Grimbert, Pierre","","La malédiction du coquillage"
"Vance, Jack","The Cadwal Chronicles","Araminta 2"
"Asimov, Isaac","The Winds of Change and Other Stories","Les Vents Du Changement"
"Card, Orson Scott","Les chroniques d'Alvin le Faiseur","L'apprenti"
"Zelazny, Roger","","Le Maître Des Ombres"
"Heinlein, Robert","Histoire du Futur","Les orphelins du ciel"
"Weis, Margaret","Les chroniques de Lancedragon","Dragons D'Une Aube De Printemps"
"Adams, Douglas","H2G2","Globalement Inoffensive"
"Attanasio, A. A","","Radix"
"Colfer, Eoin","H2G2","Encore une chose..."
"Hobb, Robin","Les Aventuriers de la mer","Le navire aux esclaves"
"Hobb, Robin","Soldat chamane","La Déchirure"
"Bradbury, Ray","","L'homme Illustré"
"Hobb, Robin","Assassin Royal","Retour au pays"
"Heinlein, Robert","","Marionnettes humaines"
"Clarke, Arthur C","Rama","Rama révélé"
"Loevenbruck, Henri","","L'Apothicaire"
"Brin, David","Le cycle de l'élèvation","Maree Stellaire"
"Weis, Margaret","La Guerre des Âmes","Dragon d'une lune disparue La Guerre Des Ames, Tome 3"
"Salvatore, R.A","Neverwinter","Gauntlgrym"
"Mc Caffrey, Anne","Le Cycle des Hommes Libres","Terre de liberté"
"Hobb, Robin","Les Aventuriers de la mer","Prisons d'eau et de bois"
"Brown, Fredric","Ed & Am Hunter","Le Monstre Vous Salue Bien"
"Loevenbruck, Henri","La moira","La nuit de la louve"
"Zelazny, Roger","","Seigneur de lumière"
"Dick, Phillip K","La Trilogie Divine","Siva"
"Wolfe, Gene","Le Livre du second soleil de Teur","La griffe du demi-dieu"
"Adams, Douglas","Dirk Gently","Un cheval dans la salle de bains"
"Gemmell, David","","L'étoile du matin"
"Salvatore, R.A","Demon Wars","L'Esprit du Démon"
"Wolfe, Gene","Le Livre du second soleil de Teur","Le nouveau soleil de Teur 1"
"Heinlein, Robert","","En terre étrangère"
